	VISTA	CD14	CD163	CD19	PDL1	CD4	CD68	CD8	FOXP3	CD11b	CD20	CD56	PD1	S100A4	SMA	TIGIT
TCGA-E1-5322_1	2756.4167	3646.591	4120.8879	0.5784	8.387	1342.2023	3050.5386	7.2301	6.9785	614.2723	0	24273.8688	3.7597	31.8126	3.0511	1.446
TCGA-E1-A7YD_0	968.5535	621.2938	585.3549	1.3477	8.9847	428.1222	840.0719	30.9973	13.248	182.3899	0.8985	12582.7358	5.8401	148.6972	20.0135	68.7332
TCGA-E1-A7YE_0	2204.6228	6142.5553	8769.134	1.2904	15.4846	2437.8599	3215.9621	16.4524	5.8842	571.318	0.3226	23048.3281	40.3245	343.2424	10.0489	7.4197
TCGA-E1-A7YH_0	3741.2821	699.3408	75.2842	1.5286	4.968	664.1827	1280.9783	3.8215	5.4189	308.78	0	22979.0236	0.7643	27.1329	5.7973	1.5286
TCGA-E1-A7YI_0	961.6275	736.3546	691.0354	1.654	1.9848	406.8806	1156.4671	38.0417	5.3225	89.3152	0.6616	13294.7271	4.962	18.5246	2.0973	0.3308
TCGA-E1-A7YJ_0	1962.0846	994.6855	4073.9272	2.5383	25.3827	994.0509	3079.8763	45.0543	9.5883	334.1001	0.6346	6819.0751	32.363	307.131	8.2748	5.7111
TCGA-E1-A7YK_0	4304.61	3710.9271	10056.6288	8.1775	8.1775	2557.4977	4217.1113	71.9616	2.8826	676.684	2.0444	14200.2167	13.0839	221.2	5.3358	6.542
TCGA-E1-A7YL_0	2097.0837	2391.7882	10523.0238	5.7559	21.4889	1983.4996	3020.3377	87.1067	19.0714	410.9747	1.9186	8431.3239	42.594	384.881	7.2333	17.2678
TCGA-E1-A7YM_0	3047.0607	213.8115	201.0025	1.478	8.3751	804.9955	889.7319	13.3016	10.6857	172.9213	0	18913.7881	3.4486	62.567	7.242	2.9559
TCGA-E1-A7YN_0	5764.1561	6238.0429	19509.0709	11.5448	35.7339	3522.8147	10458.4937	275.9758	30.1319	528.3123	24.7389	9018.1748	89.0599	335.3491	4.2166	80.2639
TCGA-E1-A7YO_0	1374.4547	325.5066	224.4437	0	14.7383	390.3552	440.4656	18.5282	16.469	50.1103	0.4211	22105.9433	0	16.4227	7.2176	2.5266
TCGA-E1-A7YQ_0	3165.9874	4212.6714	7147.8325	4.0756	45.2019	2578.7329	2894.7758	35.1982	7.4843	909.5961	4.8166	5997.1619	18.5254	1069.2849	10.2186	4.8166
TCGA-E1-A7YS_0	482.4818	159.854	173.7226	0.365	8.0292	252.1898	289.4161	4.3796	17.2993	28.8321	0.365	30672.0438	3.2847	1.0949	5.0438	2.5547
TCGA-E1-A7YU_0	3647.73	808.1768	105.063	1.4262	6.6556	522.938	1135.7262	10.4588	7.6967	283.3373	1.4262	20032.1084	0	14.7373	11.2764	0
TCGA-E1-A7YV_0	1478.1919	314.4896	154.0727	0.4532	17.2199	378.8377	384.7287	22.2046	5.959	96.9752	4.9847	24928.5918	1.3595	133.2276	6.181	3.6252
