	BRCA1	VISTA	CD14	CD163	CD19	PDL1	CD4	CD68	CD8	EGFR	HER2	FOXP3	CD11b	CD20	CD56	PD1	S100A4	SMA	TIGIT	TP53
TCGA-CS-5396_1	0.115891062	0.087395944	0.023175088	0.148119817	0.001969338	0.047695177	0.076852142	0.15600591	0.014401961	0.01789778	0.115977648	0.04847814	0.065552386	0.001536817	1	0.023887593	0.022390982	0.178111378	0.036857438	0.141031008
TCGA-DU-7300_1	0.116853199	0.127250142	0.05669855	0.004501016	0.010621458	0.071530063	0.084229688	0.106321335	0.074352452	0.015901456	0.201325884	0.140613762	0.087412183	0.003315592	0.382107933	0.039824926	0.040727722	0	0.025930486	0.18560233
TCGA-DU-7008_1	0.197017052	0.143963992	0.052604018	0.005141001	0.018474418	0.023811754	0.055991058	0.053125936	0.026321437	0.016794586	0.139283123	0.0569191	0.097840873	0	0.61598382	0.009260557	0.005575769	0.232624309	0.01776792	0.152599234
TCGA-HT-7471_1	0.372905886	0.165621038	0.247550701	0.04007508	0.002491841	0.078019386	0.171828035	0.19277638	0.026035397	0.048902872	0.210495223	0.106891978	0.170742934	0.001166814	0.444113587	0.010992045	0.104236837	0.068064593	0.060835302	0.382094528
TCGA-DU-6397_1	0.195092437	0.351368653	0.07602443	0.024386941	0.004833479	0.022843645	0.093474206	0.08355745	0.025882316	0.05511944	0.173248083	0.126377038	0.034192713	0.007167202	0.559953309	0.021321509	0.022666635	0	0.07670336	0.219999121
TCGA-HT-7607_1	0.113807169	0.151632663	0.060767587	0.007075616	0.010806324	0.066392603	0.073527046	0.065535108	0.091455031	0.005741983	0.132062932	0.058512204	0.112118376	0.002361381	0.489887538	0.0047669	0.02565167	0.220595155	0.042211739	0.118615474
TCGA-E1-5307_1	0.131851068	0.374102702	0.04309981	0.007253022	0	0.043269863	0.114863006	0.118230507	0.018514842	0.086682913	0.172354238	0.039670801	0.298231393	0	0.780040371	0.005211452	0.000588333	0.136262351	0.003845694	0.149013788
TCGA-DB-A4XE_1	0.269680353	0.259155664	0.052117919	0.000509888	0.008807459	0.031218372	0.091811965	0.084670028	0.012269734	0.024224379	0.139789734	0.075406242	0.199808111	0	0.459021683	0.003237868	0.002680346	0.277522793	0.031059122	0.320680683
TCGA-DU-7019_1	0.13392909	0.219662452	0.105206447	0.011695724	0.008544282	0.063096559	0.160244375	0.139609001	0.035710142	0.018275726	0.128506149	0.026163982	0.203258403	0.000666866	0.544181258	0.042403044	0.03014033	0.103401898	0.022598805	0.202083157
TCGA-DU-7301_1	0.209906949	0.163526631	0.284167901	0.030617253	0	0.096050929	0.219808658	0.24803359	0.00465428	0.025139038	0.178469109	0.047338375	0.207398598	0.001042879	0.395157411	0.041756037	0.044551224	0.141078451	0.045313054	0.23908641
TCGA-HT-A5RB_1	0.13786485	0.139776087	0.031220035	0.000454269	0	0.036356969	0.05983779	0.040271749	0.031347268	0.031677981	0.132935097	0.048112474	0.110689302	0.003842392	0.411469111	0.013573703	0.004597238	0.047663858	0.015024951	0.201602395
TCGA-E1-5302_1	0.162652047	0.541230234	0.074054048	0.03343841	0	0.050402317	0.155288493	0.190125111	0.039327734	0.035984849	0.129594871	0.036476038	0.346673296	0.000783387	0.493622237	0.011069204	0.077061563	0.12789077	0.081684165	0.063318764
TCGA-QH-A65V_1	0.099123773	0.226979154	0.060950712	0.000834931	0.003052217	0.012622194	0.07969386	0.083434611	0.003986461	0.002921353	0.136245141	0.034369006	0.138866086	0	0.381770493	0	0.006586746	0.287265964	0.069550014	0.168547188
TCGA-DU-8163_1	0.22167994	0.398083314	0.112995824	0.002265669	0.031308493	0.089395893	0.210107691	0.218992136	0.022489566	0.0421035	0.105124995	0.049630022	0.51171513	0	0.446103047	0.025895157	0.019489326	0.065490088	0.050957271	0.218198949
TCGA-HT-7472_1	0.197112176	0.286774581	0.129755639	0.023311558	0.004296854	0.092651362	0.214079845	0.202299949	0.037599251	0.028787503	0.114943825	0.077345766	0.390579627	0.002682691	0.515947784	0.033170095	0.034236821	0.06670632	0.036715876	0.22554743
TCGA-HT-8106_1	0.157826812	0.749746605	0.359707922	1	1	0.118902158	0.82162013	0.717794518	1	0.007072596	0.099766195	1	0.78404441	1	0.169967025	1	0.256205991	0.234120185	1	0.089695415
TCGA-E1-5319_1	0.134973589	0.257847609	0.053248121	0.051331505	0	0.013706339	0.070823782	0.125176046	0.022894315	0.016829828	0.114708421	0.040220369	0.072944501	0.000402364	0.477100964	0.019900075	0.076812442	0.160258516	0.060838436	0.153518957
TCGA-DU-A5TP_1	0.113166737	0.207133632	0.675543999	0.039460736	0.005269969	0.403176822	0.256869502	0.335924047	0.06538761	0.006678664	0.048839288	0.049919418	0.494639845	0.002879064	0.183306155	0.090084083	0.103884999	0.086370214	0.045032019	0.262253359
TCGA-DU-6396_1	0.128209701	0.706493237	0.370395735	0.459705079	0.017157247	0.072217181	0.424441707	0.382919443	0.078987953	0.01313966	0.133452639	0.060324851	0.453753171	0.001004206	0.604123108	0.068589142	0.116770637	0.428455386	0.041887347	0.305994086
TCGA-DB-5275_1	0.20358499	0.197023101	0.071853318	0.002164092	0.00213944	0.027801362	0.080859529	0.083101032	0.031290093	0.018931282	0.139178769	0.101524605	0.112749695	0.000667767	0.575952189	0.290160817	0.014736201	0.47409515	0.059187222	0.271084988
TCGA-HT-7608_1	0.212640463	0.713729277	0.110825345	0.010247769	0.005125542	0.054499998	0.105506511	0.064013425	0.012048748	0.023615428	0.150751644	0.06055651	0.142655126	0	0.518450474	0.014130101	0.027224928	0.233383344	0.264851916	0.116061143
TCGA-HT-7873_1	0.186170462	0.293390273	0.044981401	0.00243385	0.014696216	0.066973165	0.127382991	0.151200629	0.002193593	0.030843383	0.131372937	0.068097919	0.269265283	0	0.448173292	0.006945772	0.006621482	0.117739229	0.017084659	0.115988663
TCGA-EZ-7264_1	0.119450408	0.072830326	0.031774613	0.002478616	0.003590126	0.023330923	0.034383157	0.037911363	0.00844021	0.053071443	0.155730744	0.14177206	0.042993543	0.000280232	0.588545277	0.009898362	0.004022863	0.122524258	0.024834552	0.290110451
TCGA-DB-5281_1	0.164182124	0.1973191	0.087015238	0.02313789	0.009455133	0.079316644	0.118497404	0.106033808	0.034576375	0.014949002	0.182866189	0.048969971	0.107192475	0	0.521021317	0.025025165	0.034058824	0.230151896	0.030778087	0.379921448
TCGA-HT-7477_1	0.621673967	0.119006573	0.086893552	0.001989275	0.01929091	0.025641035	0.090068589	0.086555374	0.019525541	0.013811041	0.167281557	0.016440698	0.079157257	0.000752729	0.208742185	0.023932898	0.069047431	0.353670446	0.011773715	0.60132768
TCGA-HT-8013_1	0.237690231	0.515066243	0.671565756	0.038803439	0.025174532	0.038895742	0.419729528	0.262934469	0.003034948	0.021407409	0.130540466	0.043265444	0.554754734	0.000302274	0.346686466	0.017084815	0.015429702	0.141944018	0.009455434	0.278090065
TCGA-DU-5853_1	0.151050417	0.364825172	0.117448878	0.007856519	0.009887771	0.055491617	0.224495835	0.146018718	0.100726369	0.036343746	0.105662418	0.131182012	0.383787609	0.004244155	0.422519103	0.062698827	0.080630403	0.317600739	0.064372275	0.160211181
TCGA-DU-5870_1	0.151213439	0.261392553	0.046051195	0.00701961	0.009331889	0.024807165	0.121458041	0.126923352	0.011577938	0.041802577	0.15693601	0.120798676	0.163088224	0.000364091	0.732831463	0.06946338	0.01084312	0.269248866	0.309454546	0.260663495
TCGA-DU-A5TU_1	0.090377668	0.528681323	0.254911609	0.017031494	0.008149516	0.012837961	0.120678656	0.169015218	0.019158014	0.00242659	0.118779574	0.036590086	0.318763261	0.000424005	0.320952494	0.038944316	0.121749335	0.220719441	0.008842693	0.29908704
TCGA-DU-7306_1	0.142178727	0.22737303	0.054240713	0.027024614	0.006105718	0.15631104	0.108504594	0.114453155	0.009569618	0.030621319	0.078514694	0.02040956	0.138522707	0.000317703	0.596172739	0.008978111	0.011825167	0	0.008281667	0.067560863
